comunidad,edad,año,total
ceuta,45-64,2021,22
ceuta,45-64,2020,15
ceuta,45-64,2019,15
ceuta,45-64,2018,17
ceuta,45-64,2017,17
ceuta,45-64,2016,15
ceuta,45-64,2015,13
ceuta,>65,2022,8
ceuta,>65,2021,5
ceuta,>65,2020,1
ceuta,>65,2019,1
ceuta,>65,2018,0
ceuta,>65,2017,0
ceuta,>65,2016,0
ceuta,>65,2015,4
melilla,<18,2022,0
melilla,<18,2021,0
melilla,<18,2020,0
melilla,<18,2019,0
melilla,<18,2018,0
melilla,<18,2017,0
melilla,<18,2016,0
melilla,<18,2015,0
melilla,18-24,2022,11
melilla,18-24,2021,6
melilla,18-24,2020,5
melilla,18-24,2019,10
melilla,18-24,2018,6
melilla,18-24,2017,9
melilla,18-24,2016,5
melilla,18-24,2015,9
melilla,25-44,2022,51
melilla,25-44,2021,29
melilla,25-44,2020,24
melilla,25-44,2019,37
melilla,25-44,2018,35
melilla,25-44,2017,31
melilla,25-44,2016,41
melilla,25-44,2015,35
melilla,45-64,2022,23
melilla,45-64,2021,22
melilla,45-64,2020,14
melilla,45-64,2019,13
melilla,45-64,2018,14
melilla,45-64,2017,16
melilla,45-64,2016,9
melilla,45-64,2015,11
melilla,>65,2022,1
melilla,>65,2021,1
melilla,>65,2020,1
melilla,>65,2019,0
melilla,>65,2018,2
melilla,>65,2017,3
melilla,>65,2016,3
melilla,>65,2015,0
