comunidad,sexo,año,total
region de murcia,mujeres,2016,731292
pais vasco,hombres,2016,1065580
asturias,hombres,2016,497852
aragon,mujeres,2016,661357
la rioja,hombres,2016,155969
castilla la mancha,mujeres,2016,1018909
castilla y leon,mujeres,2016,1240744
madrid,mujeres,2016,3368365
asturias,mujeres,2016,544756
castilla y leon,hombres,2016,1206775
navarra,hombres,2016,317840
baleares,hombres,2016,550682
cataluña,hombres,2016,3697368
pais vasco,mujeres,2016,1123954
melilla,mujeres,2016,42258
navarra,mujeres,2016,322807
valencia,mujeres,2016,2511220
valencia,hombres,2016,2448748
aragon,hombres,2016,647206
canarias,hombres,2016,1042838
extremadura,hombres,2016,539239
melilla,hombres,2016,43768
cantabria,mujeres,2016,299218
andalucia,hombres,2016,4139194
extremadura,mujeres,2016,548539
canarias,mujeres,2016,1059086
galicia,mujeres,2016,1408716
galicia,hombres,2016,1309809
cantabria,hombres,2016,282988
baleares,mujeres,2016,556538
cataluña,mujeres,2016,3825228
la rioja,mujeres,2016,159825
ceuta,mujeres,2016,41673
asturias,mujeres,2017,541049
aragon,mujeres,2017,662855
melilla,mujeres,2017,42491
extremadura,hombres,2017,535060
cataluña,hombres,2017,3710200
la rioja,mujeres,2017,159873
region de murcia,mujeres,2017,734035
cantabria,mujeres,2017,298487
navarra,hombres,2017,318671
castilla y leon,mujeres,2017,1230550
navarra,mujeres,2017,324563
pais vasco,mujeres,2017,1127253
extremadura,mujeres,2017,544860
canarias,mujeres,2017,1063008
asturias,hombres,2017,493911
ceuta,mujeres,2017,41925
valencia,hombres,2017,2436203
madrid,hombres,2017,3115522
aragon,hombres,2017,645895
castilla la mancha,mujeres,2017,1014718
madrid,mujeres,2017,3391662
la rioja,hombres,2017,155508
andalucia,mujeres,2017,4245985
galicia,hombres,2017,1304392
castilla y leon,hombres,2017,1195251
baleares,mujeres,2017,561074
baleares,hombres,2017,554925
pais vasco,hombres,2017,1066905
cantabria,hombres,2017,281808
ceuta,hombres,2017,43034
valencia,mujeres,2017,2505306
castilla la mancha,hombres,2017,1016761
canarias,hombres,2017,1045113
cataluña,mujeres,2017,3845630
region de murcia,hombres,2017,736238
