provincia,sexo,año,total
leon,mujeres,2012,252702
guadalajara,mujeres,2012,126528
ciudad real,hombres,2012,264067
albacete,hombres,2012,201640
ciudad real,mujeres,2012,266183
valladolid,hombres,2012,261941
leon,hombres,2012,241749
cordoba,hombres,2012,395300
rioja,hombres,2012,161574
jaen,mujeres,2012,336016
tarragona,mujeres,2012,403738
cordoba,mujeres,2012,409198
almeria,hombres,2012,359547
coruña,hombres,2012,550009
jaen,hombres,2012,334226
valencia,mujeres,2012,1306552
tarragona,hombres,2012,410461
zaragoza,hombres,2012,482908
granada,hombres,2012,456216
castellon,hombres,2012,302927
madrid,mujeres,2012,3368319
toledo,hombres,2012,360472
soria,hombres,2012,47979
caceres,hombres,2012,205634
madrid,hombres,2012,3130241
caceres,mujeres,2012,207963
lugo,mujeres,2012,179366
cadiz,hombres,2012,616686
las palmas,mujeres,2012,548628
rioja,mujeres,2012,162035
soria,mujeres,2012,46543
cadiz,mujeres,2012,628478
zamora,hombres,2012,95100
lugo,hombres,2012,169536
cantabria,hombres,2012,289999
lerida,mujeres,2012,217687
cantabria,mujeres,2012,303862
lerida,hombres,2012,225345
valladolid,mujeres,2012,272339
gerona,mujeres,2012,378199
guadalajara,mujeres,2013,125927
alava,hombres,2013,159622
huelva,hombres,2013,258387
segovia,hombres,2013,81598
malaga,hombres,2013,813878
malaga,mujeres,2013,839121
murcia,hombres,2013,739842
sevilla,mujeres,2013,990558
murcia,mujeres,2013,732207
navarra,hombres,2013,320933
soria,hombres,2013,47336
navarra,mujeres,2013,323544
sevilla,hombres,2013,951597
las palmas,hombres,2013,553010
orense,hombres,2013,157425
orense,mujeres,2013,169299
palencia,hombres,2013,83696
segovia,mujeres,2013,80104
palencia,mujeres,2013,85259
alicante,hombres,2013,968927
madrid,mujeres,2013,3371827
madrid,hombres,2013,3123724
las palmas,mujeres,2013,550840
huelva,mujeres,2013,262281
huesca,hombres,2013,114781
teruel,hombres,2013,72529
huesca,mujeres,2013,111548
alicante,mujeres,2013,976715
pontevedra,hombres,2013,462605
jaen,hombres,2013,330505
jaen,mujeres,2013,334411
tarragona,mujeres,2013,402727
leon,hombres,2013,239179
leon,mujeres,2013,250573
tarragona,hombres,2013,407451
lerida,hombres,2013,223779
lerida,mujeres,2013,217136
lugo,hombres,2013,168013
soria,mujeres,2013,45955
lugo,mujeres,2013,177992
teruel,mujeres,2013,69654
guadalajara,hombres,2013,131796
albacete,mujeres,2013,199991
ciudad real,hombres,2013,260888
valencia,hombres,2013,1264620
rioja,mujeres,2013,161868
