Tipo de infracción;Comunidades y ciudades autónomas;Periodo;Total
Homicidio y sus formas;Andalucía;2016;18
Homicidio y sus formas;Andalucía;2015;12
Homicidio y sus formas;Aragón;2022;1
Homicidio y sus formas;Aragón;2021;2
Homicidio y sus formas;Aragón;2020;2
Homicidio y sus formas;Aragón;2019;4
Homicidio y sus formas;Aragón;2018;2
Homicidio y sus formas;Aragón;2017;2
Homicidio y sus formas;Aragón;2016;2
Homicidio y sus formas;Aragón;2015;4
Homicidio y sus formas;Asturias, Principado de;2022;2
Homicidio y sus formas;Asturias, Principado de;2021;2
Homicidio y sus formas;Asturias, Principado de;2020;0
Homicidio y sus formas;Asturias, Principado de;2019;1
Homicidio y sus formas;Asturias, Principado de;2018;4
Homicidio y sus formas;Asturias, Principado de;2017;3
Homicidio y sus formas;Asturias, Principado de;2016;2
Homicidio y sus formas;Asturias, Principado de;2015;0
Homicidio y sus formas;Balears, Illes;2022;1
Homicidio y sus formas;Balears, Illes;2021;3
Homicidio y sus formas;Balears, Illes;2020;2
Homicidio y sus formas;Balears, Illes;2019;6
Homicidio y sus formas;Balears, Illes;2018;2
Homicidio y sus formas;Balears, Illes;2017;4
Homicidio y sus formas;Balears, Illes;2016;2
Homicidio y sus formas;Balears, Illes;2015;2
Homicidio y sus formas;Canarias;2022;5
Homicidio y sus formas;Canarias;2021;5
Homicidio y sus formas;Canarias;2020;4
Homicidio y sus formas;Canarias;2019;5
Homicidio y sus formas;Canarias;2018;6
Homicidio y sus formas;Canarias;2017;3
Homicidio y sus formas;Canarias;2016;7
Homicidio y sus formas;Canarias;2015;9
Homicidio y sus formas;Cantabria;2022;0
Homicidio y sus formas;Cantabria;2021;0
Homicidio y sus formas;Cantabria;2020;0
Homicidio y sus formas;Cantabria;2019;2
Homicidio y sus formas;Cantabria;2018;0
Homicidio y sus formas;Cantabria;2017;0
Homicidio y sus formas;Cantabria;2016;0
Homicidio y sus formas;Cantabria;2015;0
Homicidio y sus formas;Castilla y León;2022;1
Homicidio y sus formas;Castilla y León;2021;4
Homicidio y sus formas;Castilla y León;2020;1
Homicidio y sus formas;Castilla y León;2019;2
Homicidio y sus formas;Castilla y León;2018;2
Homicidio y sus formas;Castilla y León;2017;0
Homicidio y sus formas;Castilla y León;2016;2
Homicidio y sus formas;Castilla y León;2015;2
Homicidio y sus formas;Castilla - La Mancha;2022;1
Homicidio y sus formas;Castilla - La Mancha;2021;2
Homicidio y sus formas;Castilla - La Mancha;2020;2
Homicidio y sus formas;Castilla - La Mancha;2019;2
Homicidio y sus formas;Castilla - La Mancha;2018;2
Homicidio y sus formas;Castilla - La Mancha;2017;4
Homicidio y sus formas;Castilla - La Mancha;2016;3
Homicidio y sus formas;Castilla - La Mancha;2015;3
Homicidio y sus formas;Cataluña;2022;8
Homicidio y sus formas;Cataluña;2021;8
Homicidio y sus formas;Cataluña;2020;17
Homicidio y sus formas;Cataluña;2019;7
Homicidio y sus formas;Cataluña;2018;11
Homicidio y sus formas;Cataluña;2017;14
Homicidio y sus formas;Cataluña;2016;12
Homicidio y sus formas;Cataluña;2015;17
Homicidio y sus formas;Comunitat Valenciana;2022;12
Homicidio y sus formas;Comunitat Valenciana;2021;13
Homicidio y sus formas;Comunitat Valenciana;2020;6
Homicidio y sus formas;Comunitat Valenciana;2019;8
Homicidio y sus formas;Comunitat Valenciana;2018;10
Homicidio y sus formas;Comunitat Valenciana;2017;11
Homicidio y sus formas;Comunitat Valenciana;2016;9
Homicidio y sus formas;Comunitat Valenciana;2015;12
Homicidio y sus formas;Extremadura;2022;2
Homicidio y sus formas;Extremadura;2021;0
Homicidio y sus formas;Extremadura;2020;0
Homicidio y sus formas;Extremadura;2019;1
Homicidio y sus formas;Extremadura;2018;0
Homicidio y sus formas;Extremadura;2017;0
Homicidio y sus formas;Extremadura;2016;0
Homicidio y sus formas;Extremadura;2015;0
Homicidio y sus formas;Galicia;2022;4
Homicidio y sus formas;Galicia;2021;8
Homicidio y sus formas;Galicia;2020;4
Homicidio y sus formas;Galicia;2019;6
Homicidio y sus formas;Galicia;2018;10
Homicidio y sus formas;Galicia;2017;1
Homicidio y sus formas;Galicia;2016;5
Homicidio y sus formas;Galicia;2015;3
Homicidio y sus formas;Madrid, Comunidad de;2022;11
Homicidio y sus formas;Madrid, Comunidad de;2021;16
Homicidio y sus formas;Madrid, Comunidad de;2020;15
Homicidio y sus formas;Madrid, Comunidad de;2019;10
Homicidio y sus formas;Madrid, Comunidad de;2018;12
Homicidio y sus formas;Madrid, Comunidad de;2017;13
Homicidio y sus formas;Madrid, Comunidad de;2016;15
Homicidio y sus formas;Madrid, Comunidad de;2015;11
Homicidio y sus formas;Murcia, Región de;2022;5
Homicidio y sus formas;Murcia, Región de;2021;2
Homicidio y sus formas;Murcia, Región de;2020;3
Homicidio y sus formas;Murcia, Región de;2019;2
Homicidio y sus formas;Murcia, Región de;2018;0
Homicidio y sus formas;Murcia, Región de;2017;2
Homicidio y sus formas;Murcia, Región de;2016;3
Homicidio y sus formas;Murcia, Región de;2015;3
Homicidio y sus formas;Navarra, Comunidad Foral de;2022;1
Homicidio y sus formas;Navarra, Comunidad Foral de;2021;1
Homicidio y sus formas;Navarra, Comunidad Foral de;2020;1
Homicidio y sus formas;Navarra, Comunidad Foral de;2019;1
Homicidio y sus formas;Navarra, Comunidad Foral de;2018;1
Homicidio y sus formas;Navarra, Comunidad Foral de;2017;0
Homicidio y sus formas;Navarra, Comunidad Foral de;2016;0
Homicidio y sus formas;Navarra, Comunidad Foral de;2015;0
Homicidio y sus formas;País Vasco;2022;7
Homicidio y sus formas;País Vasco;2021;2
Homicidio y sus formas;País Vasco;2020;2
Homicidio y sus formas;País Vasco;2019;1
Homicidio y sus formas;País Vasco;2018;0
Homicidio y sus formas;País Vasco;2017;2
Homicidio y sus formas;País Vasco;2016;2
Homicidio y sus formas;País Vasco;2015;3
Homicidio y sus formas;Rioja, La;2022;2
Homicidio y sus formas;Rioja, La;2021;0
Homicidio y sus formas;Rioja, La;2020;0
Homicidio y sus formas;Rioja, La;2019;0
Homicidio y sus formas;Rioja, La;2018;0
Homicidio y sus formas;Rioja, La;2017;1
Homicidio y sus formas;Rioja, La;2016;1
Homicidio y sus formas;Rioja, La;2015;0
Homicidio y sus formas;Ceuta;2022;0
Homicidio y sus formas;Ceuta;2021;0
Homicidio y sus formas;Ceuta;2020;0
Homicidio y sus formas;Ceuta;2019;0
Homicidio y sus formas;Ceuta;2018;0
Homicidio y sus formas;Ceuta;2017;0
Homicidio y sus formas;Ceuta;2016;0
Homicidio y sus formas;Ceuta;2015;0
