año,provincia,total_denuncias,tasa_por_1000,mujeres_por_denuncia
2013,guipuzcoa,964,2.6464104626551403,377.87033195020746
2013,huelva,1640,6.252835699116596,159.92743902439025
2013,huesca,312,2.7970021873991464,357.52564102564105
2013,islas baleares,4372,7.848191702673448,127.41788655077767
2013,jaen,1472,4.401769080562541,227.1813858695652
2013,las palmas,3958,7.185389586812867,139.1712986356746
2013,leon,822,3.2804811372334606,304.83333333333337
2013,lerida,896,4.126446098297841,242.33928571428572
2013,lugo,532,2.9888983774551665,334.5714285714286
2013,madrid,19506,5.784994307240555,172.86101712293654
2013,malaga,6209,7.3994096203050574,135.14591721694313
2013,melilla,311,7.6484186709950315,130.74598070739552
2013,murcia,4656,6.358857536188537,157.2609536082474
2013,navarra,1219,3.7676482951314196,265.4175553732568
2013,orense,494,2.9179144590340167,342.7105263157895
2013,palencia,330,3.870559119858314,258.3606060606061
2013,pontevedra,2376,4.824904304033953,207.25799663299662
2013,rioja,548,3.385474584229125,295.3795620437956
2013,salamanca,312,1.7667244249651752,566.0192307692307
2013,santa cruz de tenerife,3153,6.151750995537883,162.55534411671425
2013,segovia,216,2.6964945570758014,370.85185185185185
2013,sevilla,6423,6.484224043417953,154.22045773003268
2013,soria,104,2.263083451202263,441.875
2013,tarragona,2272,5.641538809168494,177.25660211267603
2013,teruel,130,1.866368047779022,535.8
2013,toledo,1299,3.719313516082667,268.8668206312548
2013,valencia,8920,6.851766787980834,145.94775784753364
2013,valladolid,1302,4.792667439677544,208.6520737327189
2013,vizcaya,2222,3.722728750121466,268.6201620162016
2013,zamora,247,2.6018075715760425,384.3481781376518
2013,zaragoza,2632,5.306868886868121,188.43503039513678
2014,alava,663,4.083794787772022,244.87028657616892
2014,albacete,808,4.0652656258647495,245.98638613861388
2014,alicante,6355,6.7612209137170325,147.90228166797797
2014,almeria,2084,6.040142018694298,165.55902111324374
2014,asturias,2486,4.488750137677876,222.77916331456152
2014,avila,274,3.300528807352711,302.98175182481754
2014,badajoz,1302,3.738425095111621,267.4923195084486
2014,barcelona,12383,4.383760085869729,228.11467334248567
2014,burgos,680,3.7154815373351258,269.1441176470588
2014,caceres,631,3.066962831910023,326.05546751188587
2014,cadiz,3806,6.0717732736685095,164.69653179190752
2014,cantabria,1230,4.074547658957048,245.4260162601626
2014,castellon,1511,5.1271784570280685,195.0390469887492
2014,ciudad real,1149,4.390607386461339,227.75892080069625
2014,cordoba,1653,4.063841399554526,246.07259528130672
2014,coruña,1928,3.275235280127748,305.3215767634855
2014,cuenca,600,14.419957220793579,69.34833333333333
2014,cuenca,600,5.833001176321904,171.43833333333333
2014,gerona,1794,4.758860526127311,210.13433667781496
2014,granada,3447,7.396233864322989,135.20394545982012
2014,guadalajara,560,4.471807648388152,223.62321428571434
2014,guipuzcoa,1084,2.968773107954888,336.83948339483396
2014,huelva,1600,6.114174567326615,163.554375
2014,huesca,293,2.6379998019249293,379.0750853242321
2014,islas baleares,4687,8.465774752953628,118.12267975250694
2014,jaen,1705,5.12859076552865,194.98533724340177
2014,las palmas,3845,6.992676330927271,143.0067620286086
2014,leon,920,3.7073304400037075,269.7358695652174
2014,lerida,897,4.150664013696729,240.92530657748048
2014,lugo,545,3.0891663785334114,323.7119266055046
2014,madrid,19270,5.74401029689111,174.09439543331604
2014,malaga,5923,7.185237932912709,139.17423602903932
2014,melilla,303,7.312834869913598,136.74587458745876
2014,murcia,5039,6.893966445441349,145.05437586822782
2014,navarra,1328,4.120333598093725,242.6987951807229
2014,orense,506,3.026261490523495,330.4407114624506
2014,palencia,181,2.139176476149955,467.4696132596685
2014,pontevedra,2230,4.544046687532603,220.06816143497755
2014,rioja,549,3.411802724470518,293.10018214936247
2014,salamanca,342,1.949851195566654,512.859649122807
2014,santa cruz de tenerife,3091,6.077694605185801,164.5360724684568
2014,segovia,216,2.734627217136997,365.6805555555556
2014,sevilla,6692,6.75637473850851,148.0083682008368
2014,soria,142,3.121016308409161,320.40845070422534
2014,tarragona,2268,5.679541629938297,176.0705467372134
2014,teruel,157,2.278135701433629,438.95541401273886
2014,toledo,1405,4.05850017476104,246.3964412811388
2014,valencia,8769,6.770696604228114,147.6952902269358
2014,valladolid,2062,7.6287866455536975,131.08244422890397
2014,vizcaya,2243,3.768905437944124,265.32902362906816
2014,zamora,315,3.366787443486068,297.0190476190476
2014,zaragoza,2791,5.7141570236428105,175.00394123969903
2015,alava,826,5.056503054715526,197.76513317191282
2015,albacete,797,4.034094935363372,247.88707653701383
2015,alicante,6760,7.236703360463834,138.1844674556213
2015,almeria,2306,6.6810950506007485,149.67606244579358
2015,asturias,2359,4.29648085616351,232.74862229758375
2015,avila,283,3.4493265890669753,289.9116607773852
2015,badajoz,1605,4.633987192294589,215.79688473520247
2015,barcelona,13457,4.7592236704270325,210.11830274206733
2015,burgos,621,3.4147146156384034,292.8502415458937
2015,caceres,831,4.06227849338841,246.16726835138385
2015,cadiz,3766,6.004560021684019,166.5400955921402
2015,cantabria,1327,4.41757575959333,226.36850037678974
2015,castellon,1525,5.211768686326711,191.87344262295082
2015,ciudad real,1194,4.607512483503253,217.03685092127301
2015,cordoba,1638,4.043925224415631,247.2844932844933
2015,coruña,1925,3.28552117753079,304.36571428571426
2015,cuenca,588,5.806948586778328,172.2074829931973
2015,cuenca,588,14.166626511829614,70.58843537414965
2015,gerona,1983,5.272281571209035,189.67120524457894
2015,granada,3486,7.4904918455488945,133.5025817555938
2015,guadalajara,669,5.3634133435951705,186.44843049327355
2015,guipuzcoa,1140,3.1144562678432393,321.0833333333333
2015,huelva,1616,6.1604617296563715,162.32549504950495
2015,huesca,303,2.7474769456761243,363.970297029703
2015,islas baleares,4658,8.39580317987891,119.10712752254187
2015,jaen,1482,4.486707900783812,222.88056680161944
2015,las palmas,3994,7.26767196123423,137.5956434651978
2015,leon,984,4.004378771909121,249.72662601626016
2015,lerida,904,4.198597371232177,238.17477876106193
2015,lugo,535,3.06097344677053,326.69345794392524
2015,madrid,18527,5.530490684405311,180.81578237167378
2015,malaga,6177,7.458289362791382,134.07900275214504
2015,melilla,291,6.930056440665856,144.29896907216497
2015,murcia,5034,6.878421105848981,145.38220103297576
2015,navarra,1191,3.691981487394255,270.8572628043661
2015,orense,505,3.054164549918959,327.4217821782178
2015,palencia,204,2.4342803956898917,410.7990196078431
2015,pontevedra,2245,4.588562318603605,217.93318485523386
2015,rioja,616,3.842315369261477,260.2597402597403
2015,salamanca,284,1.6320338359691062,612.7323943661972
2015,santa cruz de tenerife,3764,7.4160765723697954,134.84218916046757
2015,segovia,224,2.863900786294189,349.17410714285717
2015,sevilla,7111,7.176355065582257,139.34650541414712
2015,soria,118,2.626366044203076,380.7542372881356
2015,tarragona,2170,5.46089171076903,183.12027649769584
2015,teruel,143,2.0928769007859263,477.81118881118886
2015,toledo,1537,4.470388403166792,223.69420949902405
2015,valencia,9109,7.044039747902408,141.96399165660338
2015,valladolid,1589,5.900723757747253,169.470736312146
2015,vizcaya,2266,3.815180918034222,262.1107678729038
2015,zamora,337,3.641353675930328,274.62314540059344
2015,zaragoza,2189,4.499023738567464,222.2704431247145
2016,alava,884,5.3939933856461195,185.39140271493213
2016,albacete,817,4.162484651793129,240.24112607099144
2016,alicante,7496,8.10127895591201,123.43729989327642
2016,almeria,2675,7.729560729786115,129.37345794392525
2016,asturias,2747,5.04262458788889,198.30942846741902
2016,avila,241,2.979575688640522,335.6182572614108
2016,badajoz,1755,5.084613178274361,196.67179487179487
2016,barcelona,14382,5.067815775629169,197.323668474482
2016,burgos,763,4.22534431295237,236.66710353866316
2016,caceres,878,4.317041990362868,231.6400911161731
2016,cadiz,3741,5.966212196845133,167.61053194333064
2016,cantabria,1507,5.036461710191232,198.5520902455209
2016,castellon,1632,5.599722758824196,178.58026960784312
2016,ciudad real,1659,6.4794310286243215,154.3345388788427
2016,cordoba,1511,3.7480775909113455,266.8034414295169
2016,coruña,2193,3.7556450273239017,266.26584587323305
2016,cuenca,543,13.030019437045569,76.74585635359117
2016,cuenca,543,5.4314121671634625,184.11418047882134
2016,gerona,2049,5.440309266580464,183.8130795510005
2016,granada,3883,8.364136100843522,119.55807365439092
2016,guadalajara,667,5.35239975284271,186.832083958021
2016,guipuzcoa,1307,3.5629194676611218,280.6687069625096
2016,huelva,1932,7.373342238336036,135.6237060041408
2016,huesca,287,2.6214354871120364,381.4703832752613
2016,islas baleares,5268,9.46566092521984,105.6450265755505
2016,jaen,1698,5.186506530477598,192.80800942285043
2016,las palmas,4803,8.734760089620856,114.48511347074745
2016,leon,1010,4.158483512230471,240.47227722772274
2016,lerida,1048,4.894360277222544,204.31679389312978
2016,lugo,691,3.9856263662738725,250.90159189580316
2016,madrid,21535,6.393309513666126,156.41351288599952
2016,malaga,6722,8.111813174878238,123.2770008925915
2016,melilla,411,9.725969047280987,102.81751824817519
2016,murcia,6302,8.617624697111415,116.04125674389081
2016,navarra,1502,4.6529350354856005,214.91810918774965
2016,orense,589,3.599650424440954,277.80475382003397
2016,palencia,256,3.083037273438911,324.35546875
2016,pontevedra,2210,4.530591744482826,220.7217194570136
2016,rioja,690,4.3172219615204135,231.6304347826087
2016,salamanca,313,1.8158401596547002,550.7092651757189
2016,santa cruz de tenerife,4601,9.035493918077664,110.67463594870681
2016,segovia,259,3.3470748633385456,298.76833976833973
2016,sevilla,7250,7.320695960894357,136.5990344827586
2016,soria,108,2.4299696253796825,411.52777777777777
2016,tarragona,2067,5.212299716059532,191.8538945331398
2016,teruel,191,2.830761934403391,353.26178010471205
2016,toledo,1219,3.564327485380117,280.55783429040196
2016,valencia,10303,7.959112886841237,125.64214306512667
2016,valladolid,1374,5.1251827758049595,195.11499272197963
2016,vizcaya,2573,4.337242976633166,230.5612125923047
2016,zamora,309,3.392435637042323,294.7734627831715
2016,zaragoza,2684,5.540852432483764,180.47764530551416
2017,alava,935,5.659121171770972,176.7058823529412
2017,albacete,820,4.198905212275141,238.1573170731707
2017,alicante,8995,9.770578772372126,102.34808226792663
2017,almeria,3299,9.50731420535107,105.18217641709609
2017,asturias,2711,5.010636744546243,199.57543341940243
2017,avila,300,3.7487816459650616,266.75333333333333
2017,badajoz,1870,5.446845198911796,183.59251336898396
2017,barcelona,16225,5.67820716339518,176.11192604006163
2017,burgos,845,4.714033874099034,212.1325443786982
2017,caceres,917,4.549920115906362,219.78407851690295
2017,cadiz,4038,6.437686131712699,155.33531451213472
2017,cantabria,1908,6.3922381879277825,156.43972746331238
2017,castellon,1878,6.475795077981952,154.42119275825345
2017,ciudad real,1441,5.667649950835791,176.43997224149896
2017,cordoba,1803,4.490850172983663,222.67498613422075
2017,coruña,2442,4.18880138871974,238.73177723177724
2017,cuenca,796,8.048778021578006,124.24246231155777
2017,cuenca,796,18.98628503279666,52.66959798994975
2017,gerona,2131,5.636060206135398,177.42890661661193
2017,granada,4082,8.814187343587042,113.45345418912298
2017,guadalajara,558,4.465107346621962,223.95878136200716
2017,guipuzcoa,1331,3.6166512689527743,276.49887302779865
2017,huelva,2394,9.16128686614342,109.15497076023391
2017,huesca,402,3.693223577833309,270.76616915422886
2017,islas baleares,5412,9.645786473798466,103.67220990391722
2017,jaen,2000,6.15282383850068,162.527
2017,las palmas,4966,9.000224733762986,111.10833668948852
2017,leon,1024,4.262102665062828,234.62597656249997
2017,lerida,1244,5.831477792101254,171.4831189710611
2017,lugo,729,4.241849423073567,235.74622770919066
2017,madrid,26959,7.948610445262529,125.80815312140659
2017,malaga,7854,9.46192100850055,105.68678380443086
2017,melilla,384,9.03720787931562,110.65364583333333
2017,murcia,7839,10.67932728003433,93.63885699706594
2017,navarra,1836,5.656837039342131,176.77723311546842
2017,orense,747,4.611367298183232,216.85542168674698
2017,palencia,404,4.900117651339649,204.07673267326732
2017,pontevedra,2518,5.169221167940154,193.45274027005559
2017,rioja,727,4.547359466576595,219.90784044016507
2017,salamanca,666,3.887235160217125,257.2522522522523
2017,santa cruz de tenerife,4037,7.896425190320081,126.63958384939313
2017,segovia,330,4.300178522562907,232.54848484848486
2017,sevilla,9101,9.186341108901697,108.85726843204043
2017,soria,137,3.1195209144522624,320.5620437956204
2017,tarragona,3352,8.447836124076332,118.37350835322196
2017,teruel,200,2.990520051436945,334.39
2017,toledo,1931,5.657563585330767,176.75453133091662
2017,valencia,11854,9.155916279055397,109.21899780664755
2017,valladolid,1395,5.225032211668115,191.38637992831542
2017,vizcaya,2926,4.925818121825617,203.01196172248802
2017,zamora,309,3.4488146792267513,289.9546925566343
2017,zaragoza,3258,6.6881667894951855,149.51780233271947
2018,alava,940,5.639109020774717,177.33297872340427
2018,albacete,901,4.629344184803831,216.01331853496117
2018,alicante,8846,9.535184031423206,104.8747456477504
2018,almeria,4352,12.504992514819508,79.96806066176471
2018,asturias,3109,5.784121479574181,172.88710196204568
2018,avila,321,4.065349544072949,245.98130841121494
2018,badajoz,1708,4.997951659156083,200.08196721311475
2018,barcelona,16243,5.648002492451017,177.05374622914488
2018,burgos,790,4.420000783291278,226.24430379746838
2018,caceres,762,3.812516260732083,262.29396325459317
2018,cadiz,4156,6.624617243451496,150.95211742059672
2018,cantabria,2000,6.696465940100112,149.33249999999998
2018,castellon,1751,6.026729630101294,165.9274700171331
2018,ciudad real,1722,6.821314826258496,146.5993031358885
2018,cordoba,1826,4.563231747697768,219.14293537787512
2018,coruña,2652,4.551117700964796,219.72624434389138
2018,cuenca,695,16.560630971954154,60.3841726618705
2018,cuenca,695,7.07573582562129,141.32805755395682
2018,gerona,2161,5.668092651413613,176.42619157797316
2018,granada,3555,7.682217664994803,130.17074542897328
2018,guadalajara,770,6.137707845106573,162.9272727272727
2018,guipuzcoa,1452,3.936068702290076,254.0606060606061
2018,huelva,2216,8.450951304062635,118.32987364620939
2018,huesca,441,4.055321575046438,246.58956916099774
2018,islas baleares,5352,9.43740577141799,105.96132286995515
2018,jaen,2031,6.296698186327702,158.8133924175283
2018,las palmas,4573,8.215658797743522,121.71878416794227
2018,leon,1002,4.208315833683326,237.624750499002
2018,lerida,1529,7.166392478334435,139.5402223675605
2018,lugo,709,4.153972345910476,240.73342736248233
2018,madrid,26965,7.861041622269443,127.209605043575
2018,malaga,7978,9.540060961683107,104.82113311606918
2018,melilla,449,10.5352073019076,94.91982182628063
2018,murcia,8250,11.173320548345941,89.4989090909091
2018,navarra,1887,5.769142577617439,173.3359830418654
2018,orense,806,5.010350165043172,199.58684863523575
2018,palencia,307,3.757098100646172,266.1628664495114
2018,pontevedra,2370,4.867799200202105,205.43164556962026
2018,rioja,839,5.246471607146208,190.60429082240762
2018,salamanca,655,3.8437162574527015,260.1648854961832
2018,santa cruz de tenerife,3769,7.289670098426986,137.18041920933936
2018,segovia,352,4.609562222542331,216.94034090909088
2018,sevilla,7745,7.813855696396646,127.97779212395095
2018,soria,138,3.1506849315068495,317.39130434782606
2018,tarragona,3165,7.927542511916361,126.14249605055292
2018,teruel,228,3.427952850613423,291.719298245614
2018,toledo,1864,5.452540374832899,183.40075107296138
2018,valencia,12323,9.48609724423602,105.4174308204171
2018,valladolid,1360,5.103285239873168,195.95220588235296
2018,vizcaya,3248,5.4611272990791075,183.11237684729065
2018,zamora,314,3.558880199478635,280.9872611464968
2018,zaragoza,3384,6.934824129253318,144.1997635933806
2019,alava,990,5.89110383814341,169.74747474747474
2019,albacete,969,4.988262910798122,200.47058823529412
2019,alicante,9446,10.072853840182221,99.2767308913826
2019,almeria,3859,10.990575844656654,90.98704327545997
2019,asturias,2889,5.403403639301765,185.06853582554518
2019,avila,428,5.447441102724993,183.57242990654206
2019,badajoz,1676,4.922939547124809,203.13066825775658
2019,barcelona,15317,5.278284152741834,189.45550695305872
2019,burgos,876,4.901302537934739,204.02739726027397
2019,caceres,837,4.211045315274975,237.47072879330946
2019,cadiz,4485,7.137582675010026,140.10345596432552
2019,cantabria,2004,6.696137691837328,149.33982035928142
2019,castellon,1903,6.519690974185039,153.3815028901734
2019,ciudad real,1744,6.951419779659125,143.85550458715596
2019,cordoba,1933,4.842317799338158,206.51267459906882
2019,coruña,2788,4.781127920895313,209.15566714490674
2019,cuenca,848,8.67190935400411,115.31485849056604
