año,trimestre,provincia,total_llamadas,total_denuncias,total_victimas_mortales
2011,cuarto,valencia,1112,2300.0,0
2011,cuarto,valladolid,208,391.0,0
2011,cuarto,vizcaya,370,676.0,0
2011,cuarto,zamora,57,94.0,0
2011,cuarto,zaragoza,338,755.0,1
2011,primero,alava,71,172.0,0
2011,primero,albacete,81,191.0,0
2011,primero,alicante,616,1784.0,0
2011,primero,almeria,197,677.0,2
2011,primero,asturias,380,610.0,0
2011,primero,avila,53,104.0,0
2011,primero,badajoz,236,284.0,0
2011,primero,barcelona,1667,2939.0,1
2011,primero,burgos,99,183.0,0
2011,primero,caceres,153,158.0,0
2011,primero,cadiz,382,862.0,0
2011,primero,cantabria,251,262.0,0
2011,primero,castellon,172,395.0,0
2011,primero,ciudad real,159,288.0,1
2011,primero,cordoba,256,402.0,0
2011,primero,coruña,373,505.0,0
2011,primero,cuenca,73,242.0,0
2011,primero,gerona,151,504.0,0
2011,primero,granada,398,894.0,2
2011,primero,guadalajara,94,394.0,0
2011,primero,guipuzcoa,131,290.0,0
2011,primero,huelva,171,393.0,0
2011,primero,huesca,44,103.0,0
2011,primero,islas baleares,361,1032.0,1
2011,primero,jaen,182,378.0,2
2011,primero,las palmas,573,1088.0,1
2011,primero,leon,140,216.0,0
2011,primero,lerida,65,201.0,0
2011,primero,lugo,85,158.0,0
2011,primero,madrid,3766,4913.0,2
2011,primero,malaga,657,1263.0,1
2011,primero,melilla,41,71.0,0
2011,primero,murcia,489,1334.0,1
2011,primero,navarra,196,344.0,0
2011,primero,orense,66,158.0,0
2011,primero,palencia,35,88.0,0
2011,primero,pontevedra,293,542.0,0
2011,primero,rioja,90,177.0,0
2011,primero,salamanca,135,120.0,0
2011,primero,santa cruz de tenerife,507,859.0,0
2011,primero,segovia,69,46.0,1
2011,primero,sevilla,829,1848.0,0
2011,primero,soria,30,38.0,0
2011,primero,tarragona,205,652.0,1
2011,primero,teruel,14,43.0,0
2011,primero,toledo,250,313.0,0
2011,primero,valencia,898,2443.0,1
2011,primero,valladolid,197,345.0,0
2011,primero,vizcaya,250,505.0,0
2011,primero,zamora,60,62.0,0
2011,primero,zaragoza,266,619.0,0
2011,segundo,alava,42,223.0,0
2011,segundo,albacete,99,211.0,0
2011,segundo,alicante,616,1869.0,1
2011,segundo,almeria,224,665.0,2
2011,segundo,asturias,405,678.0,1
2011,segundo,avila,57,68.0,0
2011,segundo,badajoz,231,384.0,0
2011,segundo,barcelona,1605,3079.0,1
2011,segundo,burgos,74,159.0,0
2011,segundo,caceres,152,131.0,0
2011,segundo,cadiz,370,813.0,0
2011,segundo,cantabria,210,290.0,0
2011,segundo,castellon,147,385.0,0
2011,segundo,ciudad real,147,344.0,0
2011,segundo,cordoba,220,292.0,1
2011,segundo,coruña,333,573.0,1
2011,segundo,cuenca,80,224.0,0
2011,segundo,gerona,130,532.0,1
2011,segundo,granada,345,868.0,0
2011,segundo,guadalajara,80,177.0,0
2011,segundo,guipuzcoa,125,313.0,0
2011,segundo,huelva,179,409.0,0
2011,segundo,huesca,44,121.0,0
2011,segundo,islas baleares,404,1071.0,0
2011,segundo,jaen,183,339.0,0
2011,segundo,las palmas,536,1231.0,0
2011,segundo,leon,128,214.0,0
2011,segundo,lerida,59,245.0,0
2011,segundo,lugo,75,139.0,0
2011,segundo,madrid,3630,5443.0,3
2011,segundo,malaga,638,1543.0,0
2011,segundo,melilla,33,90.0,0
2011,segundo,murcia,440,1546.0,0
2011,segundo,navarra,193,375.0,1
2011,segundo,orense,86,123.0,0
2011,segundo,palencia,33,69.0,0
2011,segundo,pontevedra,258,515.0,0
2011,segundo,rioja,103,183.0,0
2011,segundo,salamanca,103,124.0,0
2011,segundo,santa cruz de tenerife,424,906.0,0
2011,segundo,segovia,47,49.0,0
2011,segundo,sevilla,817,2140.0,0
2011,segundo,soria,11,34.0,0
2011,segundo,tarragona,174,617.0,0
2011,segundo,teruel,19,56.0,0
2011,segundo,toledo,215,378.0,0
2011,segundo,valencia,918,2488.0,1
2011,segundo,valladolid,207,357.0,0
2011,segundo,vizcaya,249,511.0,0
2011,segundo,zamora,60,74.0,0
2011,segundo,zaragoza,261,679.0,0
2011,tercero,alava,78,210.0,0
2011,tercero,albacete,117,265.0,0
2011,tercero,alicante,692,2001.0,1
2011,tercero,almeria,266,530.0,1
2011,tercero,asturias,385,697.0,0
2011,tercero,avila,44,88.0,0
2011,tercero,badajoz,257,382.0,0
2011,tercero,barcelona,1590,3655.0,1
2011,tercero,burgos,121,176.0,1
2011,tercero,caceres,164,157.0,0
2011,tercero,cadiz,444,924.0,1
2011,tercero,cantabria,256,313.0,0
2011,tercero,castellon,163,452.0,1
2011,tercero,ciudad real,157,324.0,0
2011,tercero,cordoba,266,272.0,0
2011,tercero,coruña,377,395.0,0
2011,tercero,cuenca,96,236.0,0
2011,tercero,gerona,165,547.0,0
2011,tercero,granada,383,896.0,1
2011,tercero,guadalajara,99,191.0,0
2011,tercero,guipuzcoa,141,280.0,1
2011,tercero,huelva,178,321.0,0
2011,tercero,huesca,27,86.0,0
2011,tercero,islas baleares,384,1190.0,0
2011,tercero,jaen,179,385.0,0
2011,tercero,las palmas,635,1215.0,0
2011,tercero,leon,138,216.0,0
2011,tercero,lerida,70,261.0,0
2011,tercero,lugo,96,139.0,0
2011,tercero,madrid,3770,5324.0,2
2011,tercero,malaga,636,1702.0,0
2011,tercero,melilla,36,84.0,0
2011,tercero,murcia,504,1575.0,1
2011,tercero,navarra,239,407.0,0
2011,tercero,orense,66,145.0,0
2011,tercero,palencia,47,71.0,0
2011,tercero,pontevedra,274,620.0,0
2011,tercero,rioja,101,173.0,0
2011,tercero,salamanca,128,129.0,0
2011,tercero,santa cruz de tenerife,462,1025.0,1
2011,tercero,segovia,49,66.0,0
2011,tercero,sevilla,930,2025.0,1
2011,tercero,soria,22,29.0,0
2011,tercero,tarragona,222,737.0,0
2011,tercero,teruel,38,35.0,0
2011,tercero,toledo,295,349.0,0
2011,tercero,valencia,990,2378.0,2
2011,tercero,valladolid,249,400.0,0
2011,tercero,vizcaya,273,464.0,1
2011,tercero,zamora,43,88.0,0
2011,tercero,zaragoza,282,792.0,1
2012,cuarto,alava,59,201.0,1
2012,cuarto,albacete,87,166.0,1
2012,cuarto,alicante,481,1760.0,0
2012,cuarto,almeria,128,469.0,0
2012,cuarto,asturias,259,628.0,0
2012,cuarto,avila,72,59.0,0
2012,cuarto,badajoz,180,332.0,0
2012,cuarto,barcelona,1179,2921.0,2
2012,cuarto,burgos,74,149.0,0
2012,cuarto,caceres,131,166.0,0
2012,cuarto,cadiz,269,926.0,0
2012,cuarto,cantabria,119,274.0,0
2012,cuarto,castellon,123,435.0,0
2012,cuarto,ciudad real,115,264.0,0
2012,cuarto,cordoba,170,359.0,0
2012,cuarto,coruña,283,418.0,2
2012,cuarto,cuenca,47,145.0,1
2012,cuarto,gerona,86,480.0,0
2012,cuarto,granada,223,853.0,1
2012,cuarto,guadalajara,49,195.0,0
2012,cuarto,guipuzcoa,102,254.0,0
2012,cuarto,huelva,112,423.0,0
2012,cuarto,huesca,38,74.0,0
2012,cuarto,islas baleares,240,1096.0,1
2012,cuarto,jaen,134,388.0,1
2012,cuarto,las palmas,492,1017.0,0
2012,cuarto,leon,101,125.0,2
2012,cuarto,lerida,61,244.0,0
2012,cuarto,lugo,74,92.0,0
2012,cuarto,madrid,2769,5102.0,2
2012,cuarto,malaga,435,1589.0,0
2012,cuarto,melilla,35,112.0,0
2012,cuarto,murcia,328,1115.0,0
2012,cuarto,navarra,161,293.0,0
2012,cuarto,orense,56,123.0,0
2012,cuarto,palencia,26,62.0,0
2012,cuarto,pontevedra,175,488.0,0
2012,cuarto,rioja,57,164.0,0
2012,cuarto,salamanca,82,106.0,0
2012,cuarto,santa cruz de tenerife,385,821.0,0
2012,cuarto,segovia,40,73.0,0
2012,cuarto,sevilla,592,1550.0,0
2012,cuarto,soria,13,37.0,0
2012,cuarto,tarragona,156,542.0,1
2012,cuarto,teruel,12,39.0,0
2012,cuarto,toledo,180,243.0,0
2012,cuarto,valencia,618,2175.0,0
2012,cuarto,valladolid,120,249.0,0
2012,cuarto,vizcaya,196,485.0,0
2012,cuarto,zamora,49,81.0,0
2012,cuarto,zaragoza,176,702.0,0
2012,primero,alava,79,177.0,0
2012,primero,albacete,70,187.0,0
2012,primero,alicante,584,1597.0,0
2012,primero,almeria,186,505.0,0
2012,primero,asturias,336,605.0,0
2012,primero,avila,75,85.0,0
2012,primero,badajoz,200,282.0,1
2012,primero,barcelona,1502,2924.0,3
2012,primero,burgos,101,140.0,0
2012,primero,caceres,134,165.0,0
2012,primero,cadiz,291,888.0,0
2012,primero,cantabria,176,271.0,0
2012,primero,castellon,179,426.0,0
2012,primero,ciudad real,147,322.0,0
2012,primero,cordoba,214,197.0,0
2012,primero,coruña,342,346.0,0
2012,primero,cuenca,78,208.0,0
2012,primero,gerona,163,576.0,1
2012,primero,granada,345,901.0,0
2012,primero,guadalajara,67,136.0,0
2012,primero,guipuzcoa,104,259.0,1
2012,primero,huelva,140,399.0,0
2012,primero,huesca,33,75.0,0
2012,primero,islas baleares,318,1050.0,0
2012,primero,jaen,172,355.0,1
2012,primero,las palmas,465,1081.0,0
2012,primero,leon,164,201.0,0
2012,primero,lerida,92,224.0,0
2012,primero,lugo,83,131.0,0
2012,primero,madrid,3262,5237.0,1
2012,primero,malaga,512,1492.0,0
2012,primero,melilla,35,72.0,0
2012,primero,murcia,371,1161.0,0
2012,primero,navarra,195,327.0,0
2012,primero,orense,95,119.0,1
2012,primero,palencia,37,61.0,0
2012,primero,pontevedra,221,586.0,0
