año,trimestre,provincia,comunidad,numero_ordenes_proteccion
2010,tercero,caceres,extremadura,58
2010,tercero,coruña,galicia,134
2010,tercero,lugo,galicia,57
2010,tercero,orense,galicia,40
2010,tercero,pontevedra,galicia,119
2010,tercero,madrid,madrid,1570
2010,tercero,murcia,murcia,576
2010,tercero,navarra,navarra,87
2010,tercero,alava,pais vasco,65
2010,tercero,guipuzcoa,pais vasco,88
2010,tercero,vizcaya,pais vasco,128
2010,tercero,rioja,la rioja,80
2010,tercero,cuenca,castilla la mancha,17
2010,tercero,melilla,melilla,0
2010,cuarto,almeria,andalucia,62
2010,cuarto,cadiz,andalucia,263
2010,cuarto,cordoba,andalucia,90
2010,cuarto,granada,andalucia,87
2010,cuarto,huelva,andalucia,141
2010,cuarto,jaen,andalucia,83
2010,cuarto,malaga,andalucia,258
2010,cuarto,sevilla,andalucia,382
2010,cuarto,huesca,aragon,13
2010,cuarto,teruel,aragon,11
2010,cuarto,zaragoza,aragon,101
2010,cuarto,asturias,asturias,204
2010,cuarto,islas baleares,islas baleares,215
2010,cuarto,las palmas,canarias,333
2010,cuarto,santa cruz de tenerife,canarias,301
2010,cuarto,cantabria,cantabria,80
2010,cuarto,avila,castilla y leon,29
2010,cuarto,burgos,castilla y leon,50
2010,cuarto,leon,castilla y leon,104
2010,cuarto,palencia,castilla y leon,15
2010,cuarto,salamanca,castilla y leon,17
2010,cuarto,segovia,castilla y leon,12
2010,cuarto,soria,castilla y leon,23
2010,cuarto,valladolid,castilla y leon,160
2010,cuarto,zamora,castilla y leon,25
2010,cuarto,albacete,castilla la mancha,70
2010,cuarto,ciudad real,castilla la mancha,125
2010,cuarto,cuenca,castilla la mancha,35
2010,cuarto,guadalajara,castilla la mancha,52
2010,cuarto,toledo,castilla la mancha,204
2010,cuarto,barcelona,cataluña,885
2010,cuarto,gerona,cataluña,189
2010,cuarto,lerida,cataluña,70
2010,cuarto,tarragona,cataluña,197
2010,cuarto,alicante,comunidad valenciana,455
2010,cuarto,castellon,comunidad valenciana,140
2010,cuarto,valencia,comunidad valenciana,465
2010,cuarto,badajoz,extremadura,111
2010,cuarto,caceres,extremadura,54
2010,cuarto,coruña,galicia,81
2010,cuarto,lugo,galicia,47
