año,trimestre,llamante,almeria,cadiz,cordoba,granada,huelva,jaen,malaga,sevilla,huesca,teruel,zaragoza,asturias,illes balears,las palmas,santa cruz de tenerife,cantabria,avila,burgos,leon,palencia,salamanca,segovia,soria,valladolid,zamora,albacete,ciudad real,cuenca,guadalajara,toledo,barcelona,girona,lleida,tarragona,alicante/alacant,castellon/castello,valencia/valencia,badajoz,caceres,a coruna,lugo,ourense,pontevedra,madrid,murcia,navarra,araba/alava,bizkaia,gipuzkoa,la rioja,ceuta,melilla,no consta
2010,primero,familiar,52.0,100.0,52.0,114.0,25.0,41.0,139.0,190.0,12.0,3.0,69.0,66.0,88.0,142.0,134.0,42.0,16.0,26.0,29.0,11.0,29.0,9.0,1.0,53.0,22.0,24.0,37.0,2.0,20.0,59.0,356.0,29.0,11.0,41.0,136.0,27.0,214.0,53.0,29.0,71.0,18.0,7.0,72.0,856.0,92.0,48.0,19.0,61.0,28.0,25.0,7.0,7.0,0.0
2010,primero,desconocido,2.0,10.0,3.0,7.0,11.0,3.0,12.0,20.0,2.0,1.0,6.0,13.0,3.0,11.0,8.0,8.0,0.0,6.0,5.0,1.0,2.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,4.0,12.0,35.0,1.0,3.0,6.0,12.0,3.0,21.0,7.0,5.0,5.0,1.0,3.0,7.0,75.0,10.0,3.0,0.0,5.0,1.0,1.0,3.0,4.0,0.0
2010,segundo,usuaria,154.0,226.0,156.0,227.0,83.0,125.0,411.0,560.0,36.0,14.0,164.0,229.0,275.0,410.0,362.0,129.0,38.0,70.0,108.0,22.0,100.0,24.0,16.0,152.0,55.0,56.0,90.0,24.0,64.0,188.0,1226.0,114.0,55.0,193.0,486.0,112.0,730.0,157.0,85.0,264.0,76.0,52.0,183.0,2880.0,391.0,144.0,40.0,175.0,81.0,54.0,12.0,11.0,0.0
2010,segundo,familiar,66.0,106.0,80.0,115.0,47.0,79.0,191.0,261.0,13.0,3.0,69.0,73.0,109.0,143.0,121.0,60.0,18.0,29.0,30.0,13.0,27.0,18.0,2.0,58.0,19.0,35.0,35.0,14.0,22.0,54.0,502.0,42.0,18.0,59.0,175.0,41.0,237.0,69.0,40.0,95.0,15.0,18.0,77.0,1121.0,125.0,64.0,19.0,72.0,33.0,21.0,6.0,13.0,0.0
2010,segundo,desconocido,7.0,9.0,7.0,10.0,4.0,4.0,18.0,25.0,0.0,2.0,13.0,6.0,15.0,16.0,12.0,5.0,1.0,4.0,3.0,1.0,3.0,0.0,0.0,4.0,1.0,7.0,4.0,4.0,3.0,6.0,43.0,0.0,0.0,5.0,27.0,10.0,37.0,7.0,4.0,3.0,2.0,4.0,6.0,162.0,11.0,2.0,6.0,7.0,1.0,6.0,2.0,0.0,0.0
2010,tercero,usuaria,150.0,230.0,142.0,238.0,93.0,104.0,472.0,587.0,32.0,22.0,227.0,273.0,303.0,442.0,374.0,157.0,45.0,90.0,116.0,42.0,98.0,36.0,14.0,181.0,62.0,77.0,121.0,27.0,81.0,167.0,1231.0,113.0,47.0,151.0,431.0,136.0,674.0,212.0,111.0,252.0,63.0,77.0,208.0,2881.0,462.0,172.0,52.0,164.0,75.0,71.0,10.0,18.0,0.0
2010,tercero,familiar,64.0,99.0,68.0,106.0,38.0,57.0,205.0,278.0,7.0,6.0,75.0,104.0,131.0,163.0,129.0,53.0,21.0,27.0,46.0,13.0,27.0,13.0,4.0,49.0,23.0,34.0,46.0,14.0,32.0,76.0,527.0,52.0,20.0,73.0,224.0,50.0,249.0,66.0,39.0,109.0,26.0,24.0,81.0,987.0,137.0,63.0,23.0,78.0,37.0,33.0,4.0,9.0,0.0
2010,tercero,desconocido,5.0,18.0,3.0,10.0,4.0,6.0,20.0,23.0,0.0,0.0,11.0,7.0,18.0,15.0,11.0,5.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,5.0,1.0,4.0,3.0,1.0,2.0,9.0,51.0,1.0,0.0,7.0,24.0,6.0,33.0,3.0,4.0,12.0,2.0,1.0,11.0,135.0,13.0,9.0,5.0,6.0,1.0,2.0,0.0,4.0,0.0
2010,cuarto,usuaria,137.0,219.0,141.0,256.0,111.0,94.0,340.0,495.0,29.0,8.0,163.0,240.0,237.0,373.0,375.0,176.0,47.0,62.0,127.0,24.0,98.0,28.0,18.0,156.0,51.0,61.0,110.0,37.0,73.0,171.0,1130.0,102.0,54.0,128.0,449.0,114.0,601.0,159.0,95.0,274.0,46.0,44.0,158.0,2750.0,296.0,167.0,36.0,190.0,82.0,70.0,16.0,26.0,0.0
2010,cuarto,familiar,63.0,116.0,68.0,135.0,52.0,59.0,209.0,246.0,10.0,4.0,95.0,118.0,91.0,168.0,114.0,51.0,9.0,34.0,55.0,21.0,31.0,12.0,5.0,70.0,19.0,24.0,45.0,21.0,23.0,76.0,502.0,43.0,25.0,70.0,181.0,49.0,266.0,55.0,51.0,102.0,20.0,23.0,59.0,1108.0,120.0,56.0,19.0,123.0,51.0,29.0,4.0,8.0,0.0
2010,cuarto,desconocido,6.0,15.0,10.0,4.0,3.0,4.0,14.0,36.0,3.0,2.0,19.0,13.0,12.0,23.0,20.0,4.0,3.0,2.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,1.0,8.0,3.0,3.0,9.0,56.0,1.0,0.0,5.0,29.0,7.0,19.0,15.0,4.0,13.0,2.0,2.0,5.0,163.0,11.0,2.0,0.0,12.0,4.0,3.0,0.0,0.0,0.0
